X1	X2
gastempt	Analyzing Gastric Emptying from MRI or Scintigraphy
gazepath	Parse Eye-Tracking Data into Fixations
GCEstim	Regression Coefficients Estimation Using the Generalized Cross Entropy
GDINA	The Generalized DINA Model Framework
gdtools	Font Metrics and Font Management Utilities for R Graphics
genBaRcode	Analysis and Visualization Tools for Genetic Barcode Data
GenEst	Generalized Mortality Estimator
geneviewer	Gene Cluster Visualizations
GenoTriplo	Genotyping Triploids (or Diploids) from Luminescence Data
genTS	R Shiny App for Creating Simplified Trial Summary (TS) Domain
geoarrowWidget	Attach '(Geo)Arrow' and/or '(Geo)Parquet' Data to a Widget
geocmeans	Implementing Methods for Spatial Fuzzy Unsupervised Classification
geodrawr	Making Geospatial Objects
geospatialsuite	Comprehensive Geospatiotemporal Analysis and Multimodal Integration Toolkit
geovizr	Interactive Cartography
GeoWeightedModel	User-Friendly Interface for Geographically-Weighted Models
gestate	Generalised Survival Trial Assessment Tool Environment
GetDFPData2	Reading Annual and Quarterly Financial Reports from B3
GFD	Tests for General Factorial Designs
GFDrmst	Multiple RMST-Based Tests in General Factorial Designs
GFDrmtl	Multiple RMTL-Based Tests for Competing Risks Data in General Factorial Designs
GFDsurv	Tests for Survival Data in General Factorial Designs
gfonts	Offline 'Google' Fonts for 'Markdown' and 'Shiny'
ggbond	Interactive Layout Editor for 'R' Plots
ggExtra	Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements
ggiraph	Make 'ggplot2' Graphics Interactive
ggpaintr	Build Formula-Driven 'shiny' Apps for 'ggplot2'
ggpca	Publication-Ready PCA, t-SNE, and UMAP Plots
ggplotAssist	'RStudio' Addin for Teaching and Learning 'ggplot2'
ggplotgui	Create Ggplots via a Graphical User Interface
ggpower	Publication-Ready Power Analysis and Visualization
ggquickeda	Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables
ggseg3d	Interactive 3D Brain Atlas Visualization
ggsql	Grammar of Graphics for SQL
ggThemeAssist	Add-in to Customize 'ggplot2' Themes
ggvis	Interactive Grammar of Graphics
ggvolcano	Publication-Ready Volcano Plots
ggWebGL	Browser-Native 'WebGL' Rendering for R Graphics
glasstabs	Animated Glass-Style Tabs and Multi-Select Filter for 'Shiny'
GLMBasedRaschEstimation	GLM-Based Estimation for Rasch Model Parameters
glossa	User-Friendly 'shiny' App for Bayesian Species Distribution Models
glyph	A Next-Generation Grammar of Interactive Graphics
gm	Create Music with Ease
GMSE	Generalised Management Strategy Evaluation Simulator
gofigR	Client for 'GoFigr.io'
GOFShiny	Interactive Document for Working with Goodness of Fit Analysis
golem	A Framework for Robust Shiny Applications
GomoGomonoMi	Animate Text using the 'Animate.css' Library
googletraffic	Google Traffic
googleway	Accesses Google Maps APIs to Retrieve Data and Plot Maps
gooseR	R Integration for 'Goose' AI
gotop	Scroll Back to Top Icon in Shiny and R Markdown
